event_id,issue_id,issue_system_id,issue_type,new_value,old_value,priority,project_id,status
5d92f889afc5830252c6a15e,5d92f889afc5830252c6a15e,5d92f16dafc5830252c62bac,Improvement,0,,Trivial,5d91bc110da3ef35ce147e4a,timeestimate
5d92f88aafc5830252c6a184,5d92f88aafc5830252c6a184,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f88bafc5830252c6a1a2,5d92f88bafc5830252c6a1a2,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f88cafc5830252c6a1b9,5d92f88cafc5830252c6a1b9,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f88dafc5830252c6a1f4,5d92f88dafc5830252c6a1f4,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f88eafc5830252c6a1fd,5d92f88eafc5830252c6a1fd,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f890afc5830252c6a238,5d92f890afc5830252c6a238,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f893afc5830252c6a29f,5d92f893afc5830252c6a29f,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f895afc5830252c6a2aa,5d92f895afc5830252c6a2aa,5d92f16dafc5830252c62bac,Bug,0,,Minor,5d91bc110da3ef35ce147e4a,timeestimate
5d92f897afc5830252c6a30d,5d92f897afc5830252c6a30d,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f897afc5830252c6a331,5d92f897afc5830252c6a331,5d92f16dafc5830252c62bac,New Feature,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f898afc5830252c6a33b,5d92f898afc5830252c6a33b,5d92f16dafc5830252c62bac,New Feature,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89aafc5830252c6a344,5d92f89aafc5830252c6a344,5d92f16dafc5830252c62bac,Sub-task,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89bafc5830252c6a365,5d92f89bafc5830252c6a365,5d92f16dafc5830252c62bac,Improvement,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89bafc5830252c6a371,5d92f89bafc5830252c6a371,5d92f16dafc5830252c62bac,Bug,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89cafc5830252c6a380,5d92f89cafc5830252c6a380,5d92f16dafc5830252c62bac,Improvement,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89dafc5830252c6a3a6,5d92f89dafc5830252c6a3a6,5d92f16dafc5830252c62bac,New Feature,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f89eafc5830252c6a3ac,5d92f89eafc5830252c6a3ac,5d92f16dafc5830252c62bac,Improvement,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92f8a0afc5830252c6a419,5d92f8a0afc5830252c6a419,5d92f16dafc5830252c62bac,Improvement,0,,Major,5d91bc110da3ef35ce147e4a,timeestimate
5d92ed55afc58313293a5802,5d92ed55afc58313293a5802,5d92eb27afc58313293a3e91,Bug,0,,Trivial,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed58afc58313293a580b,5d92ed58afc58313293a580b,5d92eb27afc58313293a3e91,Bug,0,,Minor,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed60afc58313293a5868,5d92ed60afc58313293a5868,5d92eb27afc58313293a3e91,Bug,0,,Trivial,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed64afc58313293a58aa,5d92ed64afc58313293a58aa,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed73afc58313293a598e,5d92ed73afc58313293a598e,5d92eb27afc58313293a3e91,Bug,0,,Minor,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed75afc58313293a59a1,5d92ed75afc58313293a59a1,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed77afc58313293a59ce,5d92ed77afc58313293a59ce,5d92eb27afc58313293a3e91,New Feature,172800,,Critical,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ed7aafc58313293a5a00,5d92ed7aafc58313293a5a00,5d92eb27afc58313293a3e91,Improvement,172800,,Critical,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edc6afc58313293a5e71,5d92edc6afc58313293a5e71,5d92eb27afc58313293a3e91,Bug,0,,Minor,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edcaafc58313293a5ec0,5d92edcaafc58313293a5ec0,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edccafc58313293a5ede,5d92edccafc58313293a5ede,5d92eb27afc58313293a3e91,Question,86400,2203200,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edf3afc58313293a612b,5d92edf3afc58313293a612b,5d92eb27afc58313293a3e91,Bug,0,,Trivial,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edf4afc58313293a6135,5d92edf4afc58313293a6135,5d92eb27afc58313293a3e91,Bug,0,,Critical,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92edf7afc58313293a6160,5d92edf7afc58313293a6160,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ee7aafc58313293a69da,5d92ee7aafc58313293a69da,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92ef57afc58313293a7664,5d92ef57afc58313293a7664,5d92eb27afc58313293a3e91,Improvement,0,,Minor,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f020afc58313293a82c5,5d92f020afc58313293a82c5,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f095afc58313293a8a33,5d92f095afc58313293a8a33,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f14dafc58313293a93c8,5d92f14dafc58313293a93c8,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f151afc58313293a93f5,5d92f151afc58313293a93f5,5d92eb27afc58313293a3e91,Improvement,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f154afc58313293a9429,5d92f154afc58313293a9429,5d92eb27afc58313293a3e91,Improvement,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f15aafc58313293a9465,5d92f15aafc58313293a9465,5d92eb27afc58313293a3e91,Bug,0,,Critical,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f15dafc58313293a949c,5d92f15dafc58313293a949c,5d92eb27afc58313293a3e91,Improvement,0,,Trivial,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f15eafc58313293a94bf,5d92f15eafc58313293a94bf,5d92eb27afc58313293a3e91,Improvement,0,,Trivial,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f15fafc58313293a94d0,5d92f15fafc58313293a94d0,5d92eb27afc58313293a3e91,Improvement,0,,Minor,5d91bcdd0da3ef35d1432e3c,timeestimate
5d92f161afc58313293a94fd,5d92f161afc58313293a94fd,5d92eb27afc58313293a3e91,Bug,0,,Major,5d91bcdd0da3ef35d1432e3c,timeestimate
5da725d426b42f0ee98b3685,5da725d426b42f0ee98b3685,5da7257726b42f0ee98b3367,Bug,3600,7200,Critical,5d9edd090da3ef03c84bcf46,timeestimate
5da727cb26b42f0ee98b4e6e,5da727cb26b42f0ee98b4e6e,5da7257726b42f0ee98b3367,Question,172800,1814400,Critical,5d9edd090da3ef03c84bcf46,timeestimate
5da7283226b42f0ee98b5456,5da7283226b42f0ee98b5456,5da7257726b42f0ee98b3367,Bug,0,,Minor,5d9edd090da3ef03c84bcf46,timeestimate
5da7283426b42f0ee98b5492,5da7283426b42f0ee98b5492,5da7257726b42f0ee98b3367,Bug,0,,Major,5d9edd090da3ef03c84bcf46,timeestimate
5da7283626b42f0ee98b54b6,5da7283626b42f0ee98b54b6,5da7257726b42f0ee98b3367,Bug,0,,Major,5d9edd090da3ef03c84bcf46,timeestimate
5da7283a26b42f0ee98b54ec,5da7283a26b42f0ee98b54ec,5da7257726b42f0ee98b3367,Bug,0,,Minor,5d9edd090da3ef03c84bcf46,timeestimate
5da7283f26b42f0ee98b5563,5da7283f26b42f0ee98b5563,5da7257726b42f0ee98b3367,Bug,0,,Major,5d9edd090da3ef03c84bcf46,timeestimate
